Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
1/1/2022,Widget C,South,786,26,Male,2.8744072404860392
1/2/2022,Widget D,East,850,29,Male,3.365204595692979
1/3/2022,Widget A,North,871,40,Female,4.547363611326428
1/4/2022,Widget C,South,464,31,Male,4.555420393573678
1/5/2022,Widget C,South,262,50,Female,3.982934934725436
1/6/2022,Widget D,East,147,35,Female,1.1406279681940057
1/7/2022,Widget A,North,610,66,Male,3.3002816763416596
1/8/2022,Widget A,South,428,58,Male,4.146333883326026
1/9/2022,Widget C,West,939,26,Male,1.0691521790534528
1/10/2022,Widget B,West,215,40,Male,3.198738454626313
1/11/2022,Widget C,West,948,27,Female,4.431056583144118
1/12/2022,Widget C,North,436,36,Male,2.8964083033690677
1/13/2022,Widget C,South,980,64,Male,1.0164248115897938
1/14/2022,Widget C,West,836,22,Female,1.0440534333424298
1/15/2022,Widget D,North,963,64,Female,2.666544149655002
1/16/2022,Widget A,West,939,69,Female,1.6200346696670183
1/17/2022,Widget D,East,246,40,Female,3.6578026283730383
1/18/2022,Widget D,South,674,47,Male,3.835197059624616
1/19/2022,Widget D,South,905,42,Male,1.7115191818425144
1/20/2022,Widget C,North,422,45,Female,4.554133154
1/21/2022,Widget B,North,542,51,Female,2.7676313799157035
1/22/2022,Widget A,South,936,62,Male,1.571383630367695
1/23/2022,Widget B,West,112,65,Male,4.057006392277582
1/24/2022,Widget D,West,593,64,Male,4.159898000067091
1/25/2022,Widget D,East,800,42,Male,3.557181891
1/26/2022,Widget B,West,386,27,Male,4.413862212810212
1/27/2022,Widget B,North,819,31,Female,3.9494918881226853
1/28/2022,Widget B,North,213,59,Female,4.528822948907962
1/29/2022,Widget D,West,579,63,Female,2.735552193941918
1/30/2022,Widget D,North,121,47,Female,3.990388512
1/31/2022,Widget A,South,448,58,Male,4.9990062537161775
2/1/2022,Widget A,South,825,42,Female,3.899724790078477
2/2/2022,Widget D,West,782,31,Male,1.4567351209485286
2/3/2022,Widget B,South,934,52,Male,3.073274889716732
2/4/2022,Widget B,South,665,69,Male,3.3493911649721118
2/5/2022,Widget A,East,909,65,Male,1.696842700285564
2/6/2022,Widget D,East,419,51,Male,4.851566537
2/7/2022,Widget A,South,225,27,Male,1.7023191105384652
2/8/2022,Widget A,West,376,52,Male,1.710231678852891
2/9/2022,Widget C,East,303,28,Female,4.660668552
2/10/2022,Widget C,North,293,28,Male,2.8608217324866843
2/11/2022,Widget C,North,780,38,Female,1.2527531170980648
2/12/2022,Widget B,North,763,38,Female,3.3927499997541144
2/13/2022,Widget D,West,646,39,Male,3.4073053945321914
2/14/2022,Widget D,South,795,62,Male,1.2580030347462472
2/15/2022,Widget D,North,385,24,Female,4.890089982534648
2/16/2022,Widget D,West,156,34,Female,3.1761198611783024
2/17/2022,Widget C,East,833,19,Female,3.239182888719057
2/18/2022,Widget B,South,402,29,Female,3.080461658009578
2/19/2022,Widget B,East,262,59,Male,3.442927119
2/20/2022,Widget C,West,118,35,Male,2.057199011
2/21/2022,Widget B,North,469,28,Male,2.148965391899363
2/22/2022,Widget C,North,363,33,Female,3.045356359184531
2/23/2022,Widget D,West,893,66,Male,4.226743419054318
2/24/2022,Widget C,North,212,68,Female,1.1994583059767154
2/25/2022,Widget D,South,587,35,Male,3.413616848880984
2/26/2022,Widget D,West,426,52,Female,4.227112570025255
2/27/2022,Widget A,East,641,43,Male,1.6276690881489086
2/28/2022,Widget C,West,746,33,Male,1.0600901679222652
3/1/2022,Widget A,South,678,23,Female,2.2508531805658323
3/2/2022,Widget C,South,164,61,Female,3.3525748269183926
3/3/2022,Widget C,West,391,60,Female,1.5531326936189909
3/4/2022,Widget A,West,124,64,Female,2.704489483889942
3/5/2022,Widget A,North,648,64,Female,3.2092859894971117
3/6/2022,Widget C,South,100,65,Male,3.3955323790292686
3/7/2022,Widget B,West,648,59,Female,2.0976468840015006
3/8/2022,Widget D,West,240,29,Male,2.6001185439451655
3/9/2022,Widget A,South,843,30,Male,4.113356916270234
3/10/2022,Widget D,West,747,21,Male,4.7648587764827415
3/11/2022,Widget B,North,287,56,Male,4.447521324473029
3/12/2022,Widget B,South,227,19,Male,3.2571340069337276
3/13/2022,Widget B,North,300,43,Female,2.641171211775786
3/14/2022,Widget A,North,226,44,Female,2.331826457485673
3/15/2022,Widget B,North,356,44,Male,1.4998262643360722
3/16/2022,Widget A,North,775,32,Male,1.426204988864452
3/17/2022,Widget B,South,646,25,Female,3.753430499654631
3/18/2022,Widget D,North,293,24,Female,2.0391776646846416
3/19/2022,Widget D,North,802,64,Male,2.018646745729787
3/20/2022,Widget C,West,203,63,Female,4.992780217911143
3/21/2022,Widget D,South,634,57,Female,1.7517038314951816
3/22/2022,Widget C,South,364,29,Female,1.5922390379553186
3/23/2022,Widget D,East,901,30,Male,1.3947409110396825
3/24/2022,Widget A,South,483,60,Female,3.3192213806671846
3/25/2022,Widget D,South,359,34,Male,3.5114553040084058
3/26/2022,Widget C,East,513,34,Male,2.4609117050275278
3/27/2022,Widget C,South,457,53,Male,3.141653342045871
3/28/2022,Widget B,South,174,38,Male,4.153598124
3/29/2022,Widget A,South,454,25,Male,4.272416673286994
3/30/2022,Widget D,South,683,22,Female,4.831648302862593
3/31/2022,Widget B,East,870,43,Male,4.297071943691498
4/1/2022,Widget D,South,287,33,Male,3.2593657468697064
4/2/2022,Widget D,South,784,53,Male,1.718627863347384
4/3/2022,Widget B,East,389,45,Female,1.3990542308113696
4/4/2022,Widget B,West,144,46,Female,1.2180475596434368
4/5/2022,Widget B,North,672,64,Female,3.666103327141535
4/6/2022,Widget B,West,182,29,Female,4.230145021591973
4/7/2022,Widget B,East,222,54,Female,3.034735802736316
4/8/2022,Widget D,North,457,47,Female,1.2188566993345598
4/9/2022,Widget B,East,627,40,Female,3.1418822983653527
4/10/2022,Widget A,East,165,33,Male,4.742997046098202
4/11/2022,Widget C,South,756,31,Male,3.390452763729842
4/12/2022,Widget B,North,474,27,Female,4.237709954
4/13/2022,Widget B,South,261,24,Male,4.200610593567003
4/14/2022,Widget D,North,845,62,Male,4.728516399122611
4/15/2022,Widget B,East,479,69,Female,4.080915062599493
4/16/2022,Widget B,East,755,54,Male,3.9908020560523583
4/17/2022,Widget B,West,457,46,Male,1.9364106598825623
4/18/2022,Widget D,North,287,20,Female,1.2397006212843258
